date,actual,ensemble_pred,fold,TrendAgent_pred,MomentumAgent_pred,VolatilityAgent_pred,TrendAgent_weight,MomentumAgent_weight,VolatilityAgent_weight
2013-02-11,-0.00019766654174591957,0.0017866951451037023,0,0.0009086976406227635,0.0030538924038410187,0.0013974953908473253,0.3789094957406484,0.26165082694027647,0.3594396773190752
2013-02-12,0.0016458389557508883,0.00048618724301822123,0,0.0008961122184619202,0.0009574727155268192,-0.00028901014593429863,0.4236076182368067,0.3008043693414147,0.27558801242177866
2013-02-13,0.0008548654429781181,0.0007389077707509168,0,0.0008871868901994194,0.0016822622856125236,-0.0005186843918636441,0.48591542742114224,0.3007719842133974,0.21331258836546033
2013-02-14,0.0009201231969441576,0.000689042228798029,0,0.0008818826954408143,-0.0003625138197094202,0.0017324613872915506,0.5523257078997089,0.2328738267313018,0.21480046536898934
2013-02-15,-0.0011827650974654347,0.0012121044645351524,0,0.0008801377919219153,0.00016865816724020988,0.0031969468109309673,0.569155897209046,0.2634437462702893,0.16740035652066465
2013-02-19,0.007466386973245625,0.00013474667462309086,0,0.0009087119444963,-0.0021845242008566856,0.001153206336311996,0.5796503918999416,0.23631199824343274,0.18403760985662565
2013-02-20,-0.01254203537969854,0.0009671893723956517,0,0.0009230638534656956,0.00043137327884323895,0.0017941787373274565,0.5681126714855983,0.24466119804338018,0.18722613047102152
2013-02-21,-0.006097006413486389,0.0009319622163312896,0,0.0009401493961872224,0.0017620418220758438,-0.0001776025164872408,0.5566568687159987,0.23783045307343448,0.20551267821056685
2013-02-22,0.009725277164553466,0.0015004751720164235,0,0.000959761831765347,0.0035375149454921484,0.00060769182164222,0.5323165310040099,0.2642367119463746,0.2034467570496156
2013-02-25,-0.019210471214943525,0.002007150527431382,0,0.0010327598467341943,0.002863875590264797,0.0034439198207110167,0.5312844938502108,0.2638337369012686,0.2048817692485206
2013-02-26,0.006822373660345991,0.0017949583732542163,0,0.0010600855979741174,0.0017230425728484988,0.0037931855767965317,0.49045266859924613,0.2672916165585194,0.24225571484223438
2013-02-27,0.012519838682018463,0.0009068296607129439,0,0.0010886703783934194,0.003756083780899644,-0.0026050214655697346,0.4873119796147963,0.2928891472222519,0.21979887316295182
2013-02-28,-0.0019773712844915405,-0.0013883917903255276,0,0.0011182229834955759,-0.003810433903709054,-0.003718310734257102,0.42331337804712976,0.3254270919353735,0.25125953001749673
2013-03-01,0.003293007812456519,-0.0003088585929350455,0,0.0011484430530361496,-0.00015482281742151827,-0.002963574603199959,0.4648694769564791,0.3351800617704936,0.19995046127302735
2013-03-04,0.005310769899731591,-0.001273706125358693,0,0.0012413185212353114,-0.0038249618373811245,-0.002844235859811306,0.5099510796762354,0.2961519737985028,0.19389694652526196
2013-03-05,0.008918751130530658,-0.0004406840311836144,0,0.0012710773429968343,0.00026267959037795663,-0.006016930099576712,0.5293143145843294,0.30625945200816496,0.1644262334075056
2013-03-06,0.001360275679687331,-0.000334114345001171,0,0.001299920593193712,-0.0004790698876604438,-0.005324340425431728,0.564991364589198,0.32082116604282046,0.11418746936798171
2013-03-07,0.0018107652917573134,0.0011967798068140225,0,0.0013275270597752722,0.0005992382066324353,0.0022287049796432257,0.6146870349790585,0.2454872553231867,0.13982570969775474
2013-03-08,0.0042552022227025305,0.000981577831207412,0,0.001353577948573631,0.0014957254752516747,-0.0015564414206892252,0.6214295009869316,0.26054309452119295,0.11802740449187546
2013-03-11,0.003788476018684821,0.0013431703946289583,0,0.0014205992215238876,0.0021427508909255266,-0.0008295600418932736,0.6168822818916885,0.28352139511429975,0.09959632299401179
2013-03-12,-0.0022457034303737674,0.0012978528344665357,0,0.0014373471809771914,0.0017312649870291352,-0.000799947592895478,0.5955024623139556,0.2715242928945292,0.13297324479151518
2013-03-13,0.0014122281949806987,0.001324615850708118,0,0.0014510405073260534,0.0016521179350093007,8.969850750872865e-05,0.6207646032296236,0.2870352895803633,0.09220010719001316
2013-03-14,0.005309502453667139,0.0018427839232403938,0,0.001461409715202385,0.0034107528626918793,-0.0004708664200734347,0.5937644982853164,0.32046377159105,0.08577173012363368
2013-03-15,-0.0013207148082539574,0.0015058494430332978,0,0.0014681990123313125,0.00204021786339581,-0.00023003987735137343,0.5883024321338428,0.29466799366304497,0.11702957420311233
2013-03-18,-0.005534318810470362,0.0007976177751406728,0,0.0014660825929347274,0.00017655921692494303,-0.000998965697363019,0.548416463707323,0.30991600622841975,0.1416675300642573
2013-03-19,-0.0023256613338857386,0.000984892756636846,0,0.0014563165398137176,0.0005982797592878342,5.705726835003588e-06,0.5037852797933782,0.32767410137610975,0.16854061883051216
2013-03-20,0.006961127689549231,0.001525745548164264,0,0.0014419443044906672,0.0012553043197840452,0.0023020238149911165,0.49243017074579726,0.3215575012778987,0.18601232797630413
2013-03-21,-0.008579699182569055,0.0008811411205211068,0,0.0014228195162113858,0.001405967865139246,-0.0014601056464016438,0.47368523871937446,0.3153412663532891,0.2109734949273365
2013-03-22,0.008001262905240869,0.000734490384047244,0,0.001398817792226698,0.0005009053857065737,-0.0004079426871612668,0.4819944021006842,0.3129477147083503,0.20505788319096546
